8/31/2017 15:28:30 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:08:34 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:16:23 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:42:19 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:43:36 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:52:28 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:58:12 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:04:55 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:05:18 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:05:48 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:19:50 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:22:40 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:26:18 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:26:22 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:08:23 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:09:48 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:18:34 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:19:38 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:20:00 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 18:20:36 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:22:16 AM - Upgrade Script Results: Successfully upgraded script results.
9/01/2017 09:24:39 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:25:47 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:32:08 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:34:05 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:46:28 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:47:59 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 09:48:42 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:00:19 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:01:09 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:05:19 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:19:09 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:20:56 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:23:14 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:26:13 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:29:30 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 10:53:11 AM - Launch Browser: IE version 8.0.7601.17514
9/01/2017 11:00:01 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:02:43 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:04:16 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:26:11 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:26:25 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:27:14 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:33:20 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:36:20 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:37:43 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:51:13 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 11:51:47 AM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:10:33 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:22:47 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:31:58 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:47:47 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:48:32 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 12:58:51 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 13:00:37 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 13:22:19 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 13:31:13 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 13:31:23 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:04:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:32:20 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:37:47 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:51:00 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:52:29 PM - Launch Browser: IE version 8.0.7601.17514
9/01/2017 14:55:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 14:57:10 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:03:50 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:06:19 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:08:27 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:11:12 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:11:47 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:24:25 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:25:06 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:26:03 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:28:26 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 15:33:32 PM - Upgrade Script Results: Successfully upgraded script results.
9/01/2017 15:38:48 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:04:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:06:22 PM - Upgrade Script Results: Successfully upgraded script results.
9/01/2017 16:15:28 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:16:02 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:16:31 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:17:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:18:10 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:20:05 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:32:21 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:32:39 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:32:46 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:35:27 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:36:06 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:36:25 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:36:46 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:37:12 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:38:18 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:41:16 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:43:33 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:43:54 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:57:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 16:57:57 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 17:06:52 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 17:07:19 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 17:08:46 PM - Save Script: Version 12.5.0.3.1012 User oats
9/01/2017 17:51:32 PM - Upgrade Script Results: Successfully upgraded script results.
9/05/2017 08:58:58 AM - Upgrade Script Results: Successfully upgraded script results.
9/05/2017 08:59:27 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 09:54:55 AM - Launch Browser: IE version 8.0.7601.17514
9/05/2017 10:04:26 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:07:23 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:07:36 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:11:58 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:12:55 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:22:29 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:23:17 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:28:44 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:29:14 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:29:24 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:30:24 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:36:10 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:39:46 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:43:53 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:44:24 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:45:17 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 10:56:59 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:02:03 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:02:51 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:03:15 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:06:33 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:50:24 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:51:37 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 11:53:28 AM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 12:13:51 PM - Save Script: Version 12.5.0.3.1012 User oats
9/05/2017 13:00:14 PM - Save Script: Version 12.5.0.3.1012 User oats
