10/03/2017 17:56:32 PM - Launch Browser: IE version 9.10.9200.17609
10/03/2017 17:57:30 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 18:01:25 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 08:56:24 AM - Upgrade Script Results: Successfully upgraded script results.
10/04/2017 10:27:34 AM - Launch Browser: IE version 9.10.9200.17609
10/04/2017 10:30:57 AM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 10:32:51 AM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:03:17 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:06:42 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:07:52 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:22:42 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:22:52 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:37:20 PM - Save Script: Version 12.5.0.3.1012 User oats
10/04/2017 12:37:34 PM - Save Script: Version 12.5.0.3.1012 User oats
10/05/2017 12:15:06 PM - Upgrade Script Results: Successfully upgraded script results.
10/05/2017 12:15:07 PM - Upgrade Script Results: Successfully upgraded script results.
10/05/2017 15:33:49 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 09:40:12 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 09:40:48 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 09:41:24 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:37:13 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:42:52 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:43:16 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:44:58 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:48:58 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:53:09 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:54:45 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:55:31 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:57:15 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 10:58:16 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:00:52 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:20:05 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:25:56 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:30:02 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:32:02 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:38:57 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:40:19 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:41:10 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:41:54 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:43:18 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 11:45:30 AM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:13:55 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:14:13 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:15:27 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:17:47 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:29:52 PM - Save Script: Version 12.5.0.3.1012 User oats
10/06/2017 12:39:37 PM - Save Script: Version 12.5.0.3.1012 User oats
